time,epoch,batch,loss,cost
0min2sec,38,80,0.057,4.408
0min2sec,38,90,0.057,4.396
0min2sec,39,0,0.039,3.154
0min2sec,39,10,0.055,3.935
0min2sec,39,20,0.063,4.307
0min2sec,39,30,0.062,4.343
0min2sec,39,40,0.061,4.352
0min2sec,39,50,0.059,4.341
0min2sec,39,60,0.058,4.408
0min2sec,39,70,0.058,4.417
0min2sec,39,80,0.058,4.433
0min2sec,39,90,0.059,4.408
0min2sec,40,0,0.067,3.230
0min2sec,40,10,0.058,4.145
0min2sec,40,20,0.059,4.152
0min2sec,40,30,0.059,4.212
0min2sec,40,40,0.059,4.218
0min2sec,40,50,0.060,4.202
0min2sec,40,60,0.059,4.167
0min2sec,40,70,0.059,4.190
0min2sec,40,80,0.058,4.266
0min2sec,40,90,0.058,4.256
0min2sec,41,0,0.040,4.726
0min2sec,41,10,0.049,4.470
0min2sec,41,20,0.050,4.457
0min2sec,41,30,0.051,4.491
0min2sec,41,40,0.051,4.537
0min2sec,41,50,0.050,4.572
0min2sec,41,60,0.051,4.595
0min2sec,41,70,0.050,4.581
0min2sec,41,80,0.052,4.529
0min2sec,41,90,0.051,4.488
0min2sec,42,0,0.044,3.462
0min2sec,42,10,0.053,4.097
0min2sec,42,20,0.056,4.062
0min2sec,42,30,0.058,4.076
0min2sec,42,40,0.056,4.103
0min2sec,42,50,0.056,4.111
0min2sec,42,60,0.055,4.207
0min2sec,42,70,0.055,4.252
0min2sec,42,80,0.055,4.289
0min2sec,42,90,0.055,4.324
0min2sec,43,0,0.032,4.081
0min2sec,43,10,0.052,4.195
0min2sec,43,20,0.055,4.294
0min2sec,43,30,0.054,4.352
0min2sec,43,40,0.054,4.357
0min2sec,43,50,0.054,4.365
0min2sec,43,60,0.056,4.346
0min2sec,43,70,0.055,4.305
0min2sec,43,80,0.055,4.329
0min2sec,43,90,0.055,4.341
0min2sec,44,0,0.039,3.673
0min2sec,44,10,0.044,4.029
0min2sec,44,20,0.046,4.014
0min2sec,44,30,0.048,4.090
0min2sec,44,40,0.048,4.044
0min2sec,44,50,0.048,4.057
0min2sec,44,60,0.049,4.095
0min2sec,44,70,0.049,4.133
0min2sec,44,80,0.049,4.164
0min2sec,44,90,0.049,4.152
0min2sec,45,0,0.032,3.411
0min2sec,45,10,0.049,4.354
0min2sec,45,20,0.051,4.394
0min2sec,45,30,0.054,4.411
0min2sec,45,40,0.054,4.370
0min2sec,45,50,0.053,4.332
0min2sec,45,60,0.054,4.334
0min2sec,45,70,0.053,4.331
0min2sec,45,80,0.054,4.329
0min2sec,45,90,0.054,4.360
0min2sec,46,0,0.058,3.936
0min2sec,46,10,0.051,4.574
0min2sec,46,20,0.051,4.491
0min2sec,46,30,0.048,4.387
0min2sec,46,40,0.048,4.316
0min2sec,46,50,0.049,4.336
0min2sec,46,60,0.050,4.360
0min2sec,46,70,0.051,4.341
0min2sec,46,80,0.051,4.336
0min2sec,46,90,0.052,4.320
0min2sec,47,0,0.047,5.095
0min2sec,47,10,0.047,4.362
0min2sec,47,20,0.046,4.470
0min2sec,47,30,0.047,4.631
0min2sec,47,40,0.048,4.554
0min2sec,47,50,0.049,4.504
0min2sec,47,60,0.050,4.530
0min2sec,47,70,0.049,4.545
0min2sec,47,80,0.049,4.579
0min2sec,47,90,0.050,4.572
0min2sec,48,0,0.042,4.213
0min2sec,48,10,0.049,4.032
0min2sec,48,20,0.052,4.166
0min2sec,48,30,0.049,4.237
0min2sec,48,40,0.052,4.251
0min2sec,48,50,0.051,4.316
0min2sec,48,60,0.050,4.364
0min2sec,48,70,0.050,4.399
0min2sec,48,80,0.051,4.430
0min2sec,48,90,0.050,4.459
0min2sec,49,0,0.039,3.831
0min2sec,49,10,0.054,4.569
0min2sec,49,20,0.053,4.492
0min2sec,49,30,0.053,4.571
0min2sec,49,40,0.053,4.662
0min2sec,49,50,0.053,4.628
0min2sec,49,60,0.052,4.563
0min2sec,49,70,0.052,4.557
0min2sec,49,80,0.053,4.579
0min2sec,49,90,0.053,4.634
0min2sec,50,0,0.048,4.236
0min2sec,50,10,0.049,4.817
0min2sec,50,20,0.055,4.938
0min2sec,50,30,0.055,4.853
0min2sec,50,40,0.054,4.794
0min2sec,50,50,0.053,4.792
0min2sec,50,60,0.053,4.803
0min2sec,50,70,0.053,4.759
0min2sec,50,80,0.054,4.696
0min2sec,50,90,0.054,4.698
0min2sec,51,0,0.065,4.666
0min2sec,51,10,0.054,4.290
0min2sec,51,20,0.050,4.317
0min2sec,51,30,0.052,4.361
0min2sec,51,40,0.050,4.279
0min2sec,51,50,0.051,4.255
0min2sec,51,60,0.050,4.262
0min2sec,51,70,0.050,4.312
0min2sec,51,80,0.049,4.320
0min2sec,51,90,0.049,4.332
0min2sec,52,0,0.050,3.992
0min2sec,52,10,0.047,4.630
0min2sec,52,20,0.051,4.512
0min2sec,52,30,0.050,4.563
0min2sec,52,40,0.050,4.541
0min2sec,52,50,0.049,4.553
0min2sec,52,60,0.050,4.556
0min2sec,52,70,0.050,4.535
0min2sec,52,80,0.049,4.517
0min2sec,52,90,0.050,4.487
0min2sec,53,0,0.039,5.929
0min2sec,53,10,0.047,4.683
0min2sec,53,20,0.049,4.324
0min2sec,53,30,0.050,4.374
0min2sec,53,40,0.052,4.371
0min2sec,53,50,0.051,4.378
0min2sec,53,60,0.052,4.429
0min2sec,53,70,0.051,4.466
0min2sec,53,80,0.051,4.463
0min2sec,53,90,0.051,4.452
0min2sec,54,0,0.037,4.914
0min2sec,54,10,0.049,4.818
0min2sec,54,20,0.055,4.663
0min2sec,54,30,0.055,4.510
0min2sec,54,40,0.053,4.497
0min2sec,54,50,0.053,4.561
0min2sec,54,60,0.053,4.560
0min2sec,54,70,0.053,4.603
0min2sec,54,80,0.053,4.602
0min2sec,54,90,0.052,4.613
0min2sec,55,0,0.026,5.891
0min2sec,55,10,0.049,5.016
0min2sec,55,20,0.048,4.693
0min2sec,55,30,0.049,4.598
0min2sec,55,40,0.050,4.524
0min2sec,55,50,0.050,4.536
0min2sec,55,60,0.051,4.510
0min2sec,55,70,0.052,4.538
0min2sec,55,80,0.052,4.547
0min2sec,55,90,0.052,4.543
0min2sec,56,0,0.039,5.085
0min2sec,56,10,0.043,4.733
0min2sec,56,20,0.045,4.572
0min2sec,56,30,0.047,4.537
0min2sec,56,40,0.047,4.615
0min2sec,56,50,0.047,4.510
0min2sec,56,60,0.047,4.475
0min2sec,56,70,0.048,4.456
0min2sec,56,80,0.049,4.457
0min2sec,56,90,0.049,4.459
0min2sec,57,0,0.057,5.593
0min2sec,57,10,0.044,4.333
0min2sec,57,20,0.047,4.329
0min2sec,57,30,0.045,4.222
0min2sec,57,40,0.047,4.370
0min2sec,57,50,0.048,4.361
0min2sec,57,60,0.049,4.428
0min2sec,57,70,0.048,4.467
0min2sec,57,80,0.047,4.465
0min2sec,57,90,0.047,4.494
0min2sec,58,0,0.022,5.115
0min2sec,58,10,0.049,4.565
0min2sec,58,20,0.047,4.410
0min2sec,58,30,0.046,4.449
0min2sec,58,40,0.047,4.464
0min2sec,58,50,0.048,4.449
0min2sec,58,60,0.048,4.497
0min2sec,58,70,0.049,4.519
0min2sec,58,80,0.048,4.535
0min2sec,58,90,0.048,4.509
